Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2500.75,-4.50,2505.25,2504.50,2506.25,2496.50,"1,109,333",2623.50 / 2373.50,15:43:19 CT 21 Sep 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",2500.50,-4.00,2504.50,2503.50,2504.75,2496.25,616,2622.50 / 2372.50,15:30:00 CT 21 Sep 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",2497.50,-6.00,2503.50,2499.00,2500.00,2497.50,12,2621.50 / 2371.50,15:00:50 CT 21 Sep 2017
"
SEP 2018
","
SEP 2018
","

Show Price Chart

",-,-,2503.25,-,-,-,6,2621.50 / 2371.50,15:00:50 CT 21 Sep 2017
"
DEC 2018
","
DEC 2018
","

Show Price Chart

",-,-,2504.00,-,-,-,0,2622.00 / 2372.00,15:00:50 CT 21 Sep 2017
